"id","temp_humidity","temp_pressure","pressure","humidity","pitch","roll","yaw","compass_x","compass_y","compass_z","acc_x","acc_y","acc_z","gyro_x","gyro_y","gyro_z","capture_time","capture_timestamp","status","comment"
"100","36.9352","36.8354","1013.08","35.4377","265.517","82.1842","344.445","-8.03653","-5.64586","-29.6954","1.08383","0.392762","0.154504","-0.328532","-1.55263","-0.0545316","2015-12-08 14:53:35","1449557615538","Synced","Normal Walk"
"101","37.0072","36.8375","1013.08","35.6646","266.325","82.9776","340.145","-8.07138","-6.35096","-31.4989","0.65991","0.355183","0.369688","-1.06951","-0.0593736","0.883757","2015-12-08 14:53:35","1449557615745","Synced","Normal Walk"
"102","36.9172","36.8375","1013.09","35.3174","266.937","88.8353","332.201","-9.38796","-7.18337","-31.5571","0.444796","0.591811","0.0757897","0.347085","-0.00195222","3.77682","2015-12-08 14:53:35","1449557615948","Synced","Normal Walk"
"103","36.9172","36.8312","1013.09","35.4309","295.642","66.7517","311.859","-12.3706","-9.75969","-29.2142","0.650927","0.248507","0.253688","-1.20604","0.905488","0.111624","2015-12-08 14:53:36","1449557616161","Synced","Normal Walk"
"104","36.8632","36.8333","1013.08","35.3415","273.561","70.8562","329.163","-13.9712","-11.6979","-27.3849","0.517877","0.456526","0.158647","-1.5017","-1.5621","3.42587","2015-12-08 14:53:36","1449557616362","Synced","Normal Walk"
"105","36.7912","36.8271","1013.08","34.8294","54.9403","334.785","279.384","-13.9968","-17.8022","-29.769","-0.0238814","0.967359","0.0470335","-0.154435","-0.311966","2.13573","2015-12-08 14:53:36","1449557616585","Synced","Normal Walk"
"106","36.9712","36.825","1013.08","35.2418","102.463","288.185","282.35","-12.9398","-21.2933","-30.4381","-0.272826","0.81874","0.0143781","-0.352661","0.562182","-0.0233775","2015-12-08 14:53:36","1449557616800","Synced","Normal Walk"
"107","36.7912","36.8229","1013.08","35.8949","106.375","290.101","291.842","-12.2883","-22.2765","-29.848","-0.328308","1.03549","0.218596","0.691308","-0.206592","0.612839","2015-12-08 14:53:37","1449557617004","Synced","Normal Walk"
"108","36.9172","36.8167","1013.1","36.7198","102.938","313.059","315.001","-12.4017","-21.9615","-30.7265","-0.221445","0.666484","0.21031","-0.552719","0.0175955","-0.00963301","2015-12-08 14:53:37","1449557617211","Synced","Normal Walk"
"109","36.8632","36.8104","1013.1","36.8229","108.842","287.484","293.467","-11.9072","-21.9682","-29.856","-0.678568","1.27017","0.331184","0.157411","-1.12503","0.069474","2015-12-08 14:53:37","1449557617412","Synced","Normal Walk"
"110","36.8272","36.8229","1013.1","35.2693","119.155","272.763","289.31","-12.1065","-22.0784","-30.5096","-0.369317","0.870623","-0.0298875","-0.326394","-0.29303","-0.377374","2015-12-08 14:53:37","1449557617617","Synced","Normal Walk"
"111","36.8812","36.8167","1013.09","34.2829","118.086","275.265","290.618","-12.488","-21.706","-30.2475","-0.332168","0.937781","0.0324117","-0.00311668","0.0182834","-0.0972057","2015-12-08 14:53:37","1449557617822","Synced","Normal Walk"
"112","36.8632","36.8104","1013.08","35.2487","114.912","277.11","287.832","-12.5188","-21.5994","-30.6211","-0.301291","0.946994","0.0421596","0.0249419","-0.00222085","-0.00160863","2015-12-08 14:53:38","1449557618023","Synced","Normal Walk"
"113","36.8812","36.8083","1013.07","35.4343","120.673","270.2","286.347","-12.5389","-21.6735","-30.3557","-0.270655","0.945539","0.0533696","-0.0108397","-0.0798413","-0.0107276","2015-12-08 14:53:38","1449557618227","Synced","Normal Walk"
